               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.014602,           0.0099236,            0.017411,             0.92003,             0.89307,              0.9678,             0.80672,           0.0073482,           0.0023528,             0.00365,           0.0087823,           0.0087823,           0.0087823
                 125,            0.014896,           0.0097196,            0.016576,             0.93026,             0.89069,             0.96663,             0.81422,           0.0065922,           0.0023544,            0.003464,           0.0087724,           0.0087724,           0.0087724
                 126,             0.01477,           0.0097566,            0.017417,             0.87524,              0.8875,              0.9551,             0.81209,           0.0065404,           0.0023624,           0.0042684,           0.0087625,           0.0087625,           0.0087625
                 127,            0.015356,            0.010171,            0.017217,             0.93268,             0.88708,             0.96798,             0.82366,           0.0067034,           0.0023219,           0.0036467,           0.0087526,           0.0087526,           0.0087526
                 128,            0.015268,            0.010035,            0.017621,             0.89785,             0.89818,             0.95786,             0.81179,           0.0064763,           0.0022943,           0.0037274,           0.0087427,           0.0087427,           0.0087427
                 129,            0.014281,           0.0097182,            0.016682,             0.91525,             0.89859,             0.96898,             0.82578,           0.0067682,            0.002311,           0.0034518,           0.0087328,           0.0087328,           0.0087328
                 130,            0.015866,           0.0098853,            0.018617,             0.91563,             0.90017,               0.966,             0.81775,           0.0067757,           0.0022949,           0.0042465,           0.0087229,           0.0087229,           0.0087229
                 131,            0.014449,            0.010096,             0.01609,             0.88406,             0.86367,             0.94849,             0.80428,           0.0067735,           0.0022965,            0.004304,            0.008713,            0.008713,            0.008713
                 132,            0.014266,           0.0097378,            0.017028,             0.89952,             0.89139,             0.96583,             0.82214,           0.0063716,           0.0022894,           0.0037272,           0.0087031,           0.0087031,           0.0087031
                 133,            0.014597,           0.0098324,             0.01522,             0.90095,             0.91078,             0.96697,             0.82426,           0.0061286,           0.0022748,            0.003301,           0.0086932,           0.0086932,           0.0086932
                 134,            0.015097,           0.0094728,            0.016475,             0.91258,              0.9057,              0.9681,             0.82194,           0.0068841,           0.0022742,           0.0030799,           0.0086833,           0.0086833,           0.0086833
                 135,            0.014425,           0.0094851,            0.015955,             0.92459,             0.89392,             0.96759,             0.81627,           0.0066192,            0.002368,            0.003155,           0.0086734,           0.0086734,           0.0086734
                 136,            0.015102,           0.0099163,            0.016723,             0.92643,             0.90886,              0.9716,             0.82729,            0.006701,           0.0023148,           0.0032388,           0.0086635,           0.0086635,           0.0086635
                 137,            0.016359,           0.0099476,            0.017628,             0.91729,             0.89031,             0.96848,             0.83062,            0.006428,           0.0022446,           0.0034771,           0.0086536,           0.0086536,           0.0086536
                 138,            0.014868,           0.0099352,             0.01624,             0.92915,             0.91028,             0.97451,             0.82979,           0.0068676,           0.0022544,           0.0039627,           0.0086437,           0.0086437,           0.0086437
